"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,347,936,867,200","0.61%","23.08","6.08","34.91","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,856,120,129,103","0.99%","25.65","9.64","11.41","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,240,586,270,000","0.00%","8.45","4.59","2.48","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,240,586,270,000","0.00%","8.16","4.59","2.39","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,233,611,012,912","0.00%","57.54","2.58","9.20","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$781,612,768,025","0.00%","89.84","12.57","22.14","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$619,428,697,841","0.00%","4.35","1.74","0.70","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$489,364,172,391","1.18%","28.25","1.66","6.78","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$435,444,774,210","2.62%","21.89","4.59","5.81","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$397,050,709,825","3.64%","16.02","1.29","2.44","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$377,353,200,000","0.00%","0.00","0.00","0.00","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$364,386,443,042","1.65%","27.76","0.63","4.69","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$330,706,188,420","2.65%","7.99","2.75","1.13","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$327,858,300,000","0.12%","33.72","12.18","12.36","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$313,453,170,380","1.14%","51.43","10.69","33.79","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$310,353,480,787","2.72%","21.12","3.90","6.78","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$309,713,545,069","3.51%","15.19","1.75","2.13","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$303,540,469,773","0.81%","22.39","11.27","8.53","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$296,430,228,835","2.52%","17.96","1.94","-173.63","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$288,820,285,380","0.63%","30.73","14.52","41.46","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$260,181,039,630","2.60%","8.67","2.91","0.96","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$251,052,021,325","3.84%","20.31","4.43","15.56","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$249,525,161,428","3.53%","9.92","2.70","3.00","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$245,552,444,500","3.03%","23.60","6.12","9.79","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$230,596,163,183","2.64%","22.53","2.85","12.58","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$223,916,605,500","3.08%","15.79","4.15","5.48","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$215,337,578,397","0.69%","38.59","1.02","10.96","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$211,538,614,253","0.21%","28.15","5.14","5.23","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$202,993,626,313","0.34%","32.64","6.70","4.43","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$194,343,998,676","3.39%","26.07","6.82","8.54","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$184,930,980,899","0.00%","69.32","2.41","2.03","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$182,193,489,830","1.41%","28.51","3.21","8.86","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$180,515,731,108","1.79%","23.44","4.06","5.11","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$178,751,037,779","0.00%","63.16","2.22","2.53","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$177,111,165,232","1.94%","23.76","4.23","-20.66","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$175,468,569,134","2.30%","24.73","7.38","-29.36","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$171,831,863,064","3.58%","14.37","3.33","4.27","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$167,190,641,252","7.86%","7.73","1.24","1.98","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$165,149,375,622","2.28%","8.52","2.13","0.92","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$162,723,011,936","1.99%","110.34","10.02","4.48","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$155,730,000,000","0.00%","108.19","5.88","2.69","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$152,051,519,801","2.26%","24.41","3.24","4.83","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$150,898,771,330","2.76%","18.67","7.96","10.94","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$149,548,636,624","3.77%","11.66","2.78","3.05","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$144,161,904,999","3.38%","10.10","2.60","1.39","Analyze"
